respondent_id,xyz_vaccine,seasonal_vaccine
0,0.0401741851688405,0.1060294681968949
1,0.21786979764718306,0.1430612618689525
2,0.02975173418003353,0.05124380986736833
3,0.07369526317262019,0.9152446864632688
4,0.05390302661920613,0.07475939924136304
5,0.15371920249306453,0.8853955415292806
6,0.10754153643802823,0.3080553521541231
7,0.6073950779108862,0.2620984533948333
8,0.08786648144599289,0.33258498015534443
9,0.10515703994565985,0.37288361026433126
10,0.04437624099902225,0.20243719578643093
11,0.08394693991565531,0.36814931529496076
12,0.06600982533287113,0.9548502165175753
13,0.04677783300713035,0.14007918913161896
14,0.3980807276836357,0.6254456195282677
15,0.04253024604583309,0.15422068145494064
16,0.3288896476364224,0.9273966613860347
17,0.0673848147447443,0.2154002656184181
18,0.6866914409214587,0.9359569761068642
19,0.09159783138715706,0.4808867671446775
20,0.2448741943009715,0.5367378116528588
21,0.38847844374518986,0.346242367593099
22,0.32074899775053034,0.41908228309875395
23,0.15475694235431667,0.09776086927431449
24,0.11381848186631092,0.12344409629829538
25,0.077548841912161,0.2261365785116211
26,0.227278555576512,0.8464577190458799
27,0.09809029158196621,0.24674423587723918
28,0.016038755124116417,0.10691461508096005
29,0.14159155239127758,0.5034055450648863
30,0.09501659593163357,0.48006080770978604
31,0.074099454350487,0.06337371460654612
32,0.07967459487983068,0.1685829438353516
33,0.6351060515680425,0.7030222679254592
34,0.2049842383360853,0.10613291758164106
35,0.46630972450543035,0.6576656226069889
36,0.06335223922280615,0.7504421503711404
37,0.06274851437887272,0.1290325885336373
38,0.28392775837626005,0.6772433055079885
39,0.44423117033289383,0.8642939345587569
40,0.14617093290681635,0.25478856306006725
41,0.5167142543147749,0.803084898710634
42,0.0366357889346036,0.03586456353182932
43,0.18527156079138976,0.13713291741038242
44,0.030055883584587398,0.127880632860607
45,0.017336508639080667,0.12880928012117754
46,0.17314800601215313,0.3661714161014016
47,0.14317502485406056,0.1094760086914312
48,0.4434888715534846,0.7881449329235415
49,0.2692107110443328,0.4669216776960721
50,0.2152718621822611,0.5415744330216945
51,0.1324874191137815,0.6748856751321086
52,0.24240591476885387,0.34788502377509967
53,0.1462121403852818,0.4664951387304808
54,0.07011357916286472,0.1959672957066406
55,0.07467576060059357,0.21460765653520317
56,0.12738531399256234,0.8628055007704385
57,0.08071577884425428,0.5759698083314398
58,0.08133276773749287,0.666767637206682
59,0.02156288918961387,0.18528054875758518
60,0.7123180560527532,0.9351312615583193
61,0.09743658884903368,0.5270290227658913
62,0.051817345781541534,0.10492807216633268
63,0.5547941818754238,0.698531254854319
64,0.061929717138293525,0.1045515770227998
65,0.03543392498832265,0.12445616596211592
66,0.04731621216680899,0.04089877174890992
67,0.3634781338358258,0.6824569913472714
68,0.06542468962280201,0.8805375718175485
69,0.06129514595957824,0.5082765636764307
70,0.04533467031588554,0.06541207147702323
71,0.2691286461056983,0.9562460528719504
72,0.14965171302264665,0.3833495647482575
73,0.2794000007878118,0.8924145092932565
74,0.5706488984859305,0.5439499866103679
75,0.6975750882766611,0.8517583753420792
76,0.14427462881208145,0.7509437425699299
77,0.14058706084136777,0.8913604295320784
78,0.29248380012689307,0.6204711124407244
79,0.44381460721310717,0.8777398695044015
80,0.0495783281778031,0.17286497580679025
81,0.0969027867562079,0.5160697819608562
82,0.40374930897475153,0.6157447171183985
83,0.3915571351417876,0.7049809762343255
84,0.6853137153957215,0.9209749222813947
85,0.5142722831543112,0.8419988483795402
86,0.05884256992969122,0.16811730965513957
87,0.08098335175235637,0.20122179555618708
88,0.032799075227824714,0.5093939230551232
89,0.030370832967982504,0.06557473099053414
90,0.1313454987013688,0.18714377937532764
91,0.1669856168838745,0.8743062095486629
92,0.012030181597558325,0.0432118166439679
93,0.33876465973295206,0.4444367406107766
94,0.44325239100579933,0.7072696223496701
95,0.36653054431861964,0.4339130323136624
96,0.7717220549659276,0.9436939092150308
97,0.2756967514407714,0.8176835498136044
98,0.14825416920860873,0.04058061786831946
99,0.1449082607748764,0.4282141629277008
100,0.22096840587370034,0.17335582987215487
101,0.7940532838156134,0.8178637095451692
102,0.21981664655872699,0.5437103385427701
103,0.02910583517387429,0.4032651666695853
104,0.024959928192638127,0.2549315283376254
105,0.15703183478204918,0.4385376017630117
106,0.06844039147392936,0.089178827897554
107,0.41584989334349626,0.6196154308182161
108,0.15477379952241072,0.10742045492408323
109,0.040426871106109055,0.6498401964564966
110,0.7978180180322431,0.8761131372029968
111,0.027383047114892436,0.09940496209321932
112,0.5750786926243432,0.8917789720312543
113,0.04383533082749266,0.28198650331205366
114,0.17640080848245324,0.43851154656901087
